package;test_class;test_case;suite;device;result
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;retranslated;nexus_s;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStar;retranslated;nexus_s;pass
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;retranslated;nexus_one;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;retranslated;nexus_one;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;retranslated;nexus_one;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;retranslated;nexus_one;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;retranslated;nexus_one;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;retranslated;nexus_one;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;retranslated;nexus_one;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;retranslated;nexus_one;pass
