Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;2;fail;22895;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;3;fail;23130;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;4;fail;23102;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;5;fail;22925;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;6;fail;23061;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;7;fail;22986;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;8;fail;23141;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;9;fail;22979;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;10;fail;23119;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;1;fail;21167;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;2;fail;21085;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;3;fail;21126;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;4;fail;21223;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;5;fail;21196;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;6;fail;21191;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;7;fail;21182;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;8;fail;21187;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;9;fail;21176;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;10;fail;21154;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;1;pass;34188;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;2;pass;34173;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;3;pass;34241;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;4;pass;34259;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;5;pass;34180;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;6;pass;34231;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;7;pass;34169;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;8;pass;34167;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;9;pass;34158;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;10;pass;34192;18;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;1;pass;14043;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;2;pass;14078;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;3;pass;14080;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;4;pass;14067;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;5;pass;14096;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;6;pass;14025;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;7;pass;14074;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;8;pass;14072;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;9;pass;14033;9;0
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;10;pass;14022;9;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;1;pass;22491;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;2;pass;22489;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;3;pass;22456;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;4;pass;22427;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;5;pass;22453;13;0
